ScrapedName,PlayerID,Method,MatchedName
Agne Bergmark,2904,Exact,Agne Bergmark
Agris Pavars,14427,Fuzzy,Agris Pavārs
Ahlberg Magnus,240,Exact,Ahlberg Magnus
Ahti Lampi,9900,Exact,Ahti Lampi
Aigars Romals,15500,Exact,Aigars Romals
Alans Liepins,14693,Manual,Alans Liepins
Aleksander Zaytsev,217,Fuzzy,Alexandr Zaytsev
Aleksandr Metelitsa,4200,Exact,Aleksandr Metelitsa
Aleksandr Tarakanov,1355,Exact,Aleksandr Tarakanov
Aleksandrs Zernovojs,13651,Fuzzy,Aleksandrs Žernovojs
Aleksi Eriksson,618,Exact,Aleksi Eriksson
Alekss Skudritis,9897,Fuzzy,Alekss Skudrītis
Alen Shekarev,3355,Exact,Alen Shekarev
Ales Krejza,13520,Fuzzy,Aleš Krejza
Alexander Galkin,9780,Exact,Alexander Galkin
Alexander Hallenstam,4115,Exact,Alexander Hallenstam
Alexander Liljemark,2945,Exact,Alexander Liljemark
Alexander Makushkin,348,Exact,Alexander Makushkin
Alexander Miloradov,237,Exact,Alexander Miloradov
Alexander Okunev,165,Exact,Alexander Okunev
Alexander Ozerov,148,Exact,Alexander Ozerov
Alexander Plotnikov,296,Exact,Alexander Plotnikov
Alexandr Kosyrev,196,Exact,Alexandr Kosyrev
Alexandr Mihin,3035,Fuzzy,Aleksandr Mikhin
Alexandr Miloradov,237,Fuzzy,Alexander Miloradov
Alexandr Shikerin,656,Exact,Alexandr Shikerin
Alexandr Tarakanov,1355,Fuzzy,Aleksandr Tarakanov
Alexandr Zaytsev,217,Exact,Alexandr Zaytsev
Alexandr Zhulyabin,659,Exact,Alexandr Zhulyabin
Alexey Chernov,164,Exact,Alexey Chernov
Alexey Krinov,1464,Exact,Alexey Krinov
Alexey Rymarenko,12147,Exact,Alexey Rymarenko
Alexey Shikerin,657,Exact,Alexey Shikerin
Alexey Titov,146,Exact,Alexey Titov
Alexey Zaharov,232,Exact,Alexey Zaharov
Alexey Zakharov,232,Fuzzy,Alexey Zaharov
Aleš Krejza,13520,Exact,Aleš Krejza
Alfons Hermansson,14467,Exact,Alfons Hermansson
Aliaksandr Bartosh,1566,Exact,Aliaksandr Bartosh
Aliaksandr Shyrkavets,3910,Fuzzy,Alexandr Shyrkavets
Aljaz Bozic,10533,Exact,Aljaz Bozic
Alvis SILIŅŠ,4344,Exact,Alvis SILIŅŠ
Alvis Silins,4344,Manual,Alvis Silins
Alvis Siliņš,4344,Exact,Alvis Siliņš
Amanda Siwertzon,4760,Exact,Amanda Siwertzon
Amir Hallenstam,4114,Exact,Amir Hallenstam
